x	y
800.151	3.30247
800.152	3.29659
800.153	3.29071
800.154	3.28482
800.155	3.27893
800.156	3.27303
800.157	3.26713
800.158	3.26123
800.159	3.25532
800.16	3.24941
800.161	3.2435
800.162	3.23758
800.163	3.23165
800.164	3.22573
800.165	3.21979
800.166	3.21386
800.167	3.20792
800.168	3.20198
800.169	3.19603
800.17	3.19008
800.171	3.18412
800.172	3.17816
800.173	3.1722
800.174	3.16623
800.175	3.16026
800.176	3.15428
800.177	3.1483
800.178	3.14232
800.179	3.13633
800.18	3.13034
800.181	3.12434
800.182	3.11834
800.183	3.11233
800.184	3.10632
800.185	3.10031
800.186	3.09429
800.187	3.08827
800.188	3.08225
800.189	3.07622
800.19	3.07019
800.191	3.06415
800.192	3.05811
800.193	3.05207
800.194	3.04602
800.195	3.03997
800.196	3.03391
800.197	3.02785
800.198	3.02179
800.199	3.01572
800.2	3.00965
800.201	3.00357
800.202	2.9975
800.203	2.99141
800.204	2.98532
800.205	2.97923
800.206	2.97314
800.207	2.96704
800.208	2.96094
800.209	2.95483
800.21	2.94872
800.211	2.94261
800.212	2.93649
800.213	2.93037
800.214	2.92424
800.215	2.91811
800.216	2.91198
800.217	2.90585
800.218	2.89971
800.219	2.89357
800.22	2.88742
800.221	2.88128
800.222	2.87512
800.223	2.86897
800.224	2.86281
800.225	2.85665
800.226	2.85048
800.227	2.84431
800.228	2.83814
800.229	2.83197
800.23	2.82579
800.231	2.81961
800.232	2.81342
800.233	2.80723
800.234	2.80103
800.235	2.79483
800.236	2.78863
800.237	2.78242
800.238	2.77621
800.239	2.77
800.24	2.76379
800.241	2.75757
800.242	2.75134
800.243	2.74512
800.244	2.73889
800.245	2.73266
800.246	2.72642
800.247	2.72019
800.248	2.71395
800.249	2.7077
800.25	2.70145
800.251	2.6952
800.252	2.68895
800.253	2.68269
800.254	2.67643
800.255	2.67017
800.256	2.6639
800.257	2.65763
800.258	2.65135
800.259	2.64507
800.26	2.63879
800.261	2.6325
800.262	2.62621
800.263	2.61991
800.264	2.61361
800.265	2.60731
800.266	2.60101
800.267	2.5947
800.268	2.58839
800.269	2.58208
800.27	2.57576
800.271	2.56944
800.272	2.56311
800.273	2.55678
800.274	2.55045
800.275	2.54412
800.276	2.53778
800.277	2.53144
800.278	2.52509
800.279	2.51874
800.28	2.51239
800.281	2.50604
800.282	2.49969
800.283	2.49333
800.284	2.48697
800.285	2.4806
800.286	2.47423
800.287	2.46786
800.288	2.46149
800.289	2.45511
800.29	2.44873
800.291	2.44234
800.292	2.43596
800.293	2.42957
800.294	2.42317
800.295	2.41678
800.296	2.41038
800.297	2.40398
800.298	2.39757
800.299	2.39117
800.3	2.38475
800.301	2.37834
800.302	2.37192
800.303	2.3655
800.304	2.35908
800.305	2.35265
800.306	2.34622
800.307	2.33978
800.308	2.33335
800.309	2.32691
800.31	2.32047
800.311	2.31402
800.312	2.30757
800.313	2.30112
800.314	2.29467
800.315	2.28821
800.316	2.28175
800.317	2.27528
800.318	2.26882
800.319	2.26235
800.32	2.25587
800.321	2.2494
800.322	2.24292
800.323	2.23644
800.324	2.22995
800.325	2.22347
800.326	2.21698
800.327	2.21049
800.328	2.20399
800.329	2.1975
800.33	2.191
800.331	2.1845
800.332	2.17799
800.333	2.17149
800.334	2.16498
800.335	2.15846
800.336	2.15195
800.337	2.14543
800.338	2.13891
800.339	2.13238
800.34	2.12586
800.341	2.11933
800.342	2.1128
800.343	2.10627
800.344	2.09973
800.345	2.0932
800.346	2.08666
800.347	2.08011
800.348	2.07357
800.349	2.06702
800.35	2.06047
800.351	2.05391
800.352	2.04736
800.353	2.0408
800.354	2.03423
800.355	2.02767
800.356	2.0211
800.357	2.01453
800.358	2.00795
800.359	2.00138
800.36	1.9948
800.361	1.98822
800.362	1.98164
800.363	1.97505
800.364	1.96846
800.365	1.96187
800.366	1.95528
800.367	1.94868
800.368	1.94208
800.369	1.93548
800.37	1.92888
800.371	1.92227
800.372	1.91566
800.373	1.90905
800.374	1.90243
800.375	1.89582
800.376	1.8892
800.377	1.88258
800.378	1.87595
800.379	1.86933
800.38	1.8627
800.381	1.85606
800.382	1.84943
800.383	1.84279
800.384	1.83615
800.385	1.82951
800.386	1.82286
800.387	1.81622
800.388	1.80957
800.389	1.80292
800.39	1.79626
800.391	1.78961
800.392	1.78295
800.393	1.77629
800.394	1.76962
800.395	1.76296
800.396	1.75629
800.397	1.74962
800.398	1.74294
800.399	1.73627
800.4	1.72959
800.401	1.72291
800.402	1.71622
800.403	1.70954
800.404	1.70285
800.405	1.69617
800.406	1.68948
800.407	1.68278
800.408	1.67609
800.409	1.66939
800.41	1.66269
800.411	1.65598
800.412	1.64928
800.413	1.64257
800.414	1.63586
800.415	1.62915
800.416	1.62243
800.417	1.61572
800.418	1.609
800.419	1.60228
800.42	1.59556
800.421	1.58883
800.422	1.58211
800.423	1.57538
800.424	1.56865
800.425	1.56192
800.426	1.55519
800.427	1.54845
800.428	1.54172
800.429	1.53498
800.43	1.52824
800.431	1.52149
800.432	1.51475
800.433	1.508
800.434	1.50126
800.435	1.49451
800.436	1.48775
800.437	1.481
800.438	1.47425
800.439	1.46749
800.44	1.46073
800.441	1.45397
800.442	1.4472
800.443	1.44044
800.444	1.43367
800.445	1.4269
800.446	1.42013
800.447	1.41335
800.448	1.40658
800.449	1.3998
800.45	1.39302
800.451	1.38624
800.452	1.37946
800.453	1.37267
800.454	1.36589
800.455	1.3591
800.456	1.35231
800.457	1.34552
800.458	1.33873
800.459	1.33193
800.46	1.32514
800.461	1.31834
800.462	1.31154
800.463	1.30474
800.464	1.29794
800.465	1.29113
800.466	1.28433
800.467	1.27752
800.468	1.27071
800.469	1.2639
800.47	1.25709
800.471	1.25028
800.472	1.24346
800.473	1.23664
800.474	1.22982
800.475	1.223
800.476	1.21618
800.477	1.20935
800.478	1.20253
800.479	1.1957
800.48	1.18887
800.481	1.18204
800.482	1.17521
800.483	1.16837
800.484	1.16153
800.485	1.1547
800.486	1.14786
800.487	1.14101
800.488	1.13417
