x	y
0	3.18412
0	3.17816
0	3.1722
0	3.16623
0	3.16026
0	3.15428
0	3.1483
0	3.14232
0	3.13633
0	3.13034
0	3.12434
0	3.11834
0	3.11233
0	3.10632
0	3.10031
0	3.09429
0	3.08827
0	3.08225
0	3.07622
0	3.07019
0	3.06415
0	3.05811
0	3.05207
0	3.04602
0	3.03997
0	3.03391
0	3.02785
0	3.02179
0	3.01572
0	3.00965
0	3.00357
0	2.9975
0	2.99141
0	2.98532
0	2.97923
0	2.97314
0	2.96704
0	2.96094
0	2.95483
0	2.94872
0	2.94261
0	2.93649
0	2.93037
0	2.92424
0	2.91811
0	2.91198
0	2.90585
0	2.89971
0	2.89357
0	2.88742
0	2.88128
0	2.87512
0	2.86897
0	2.86281
0	2.85665
0	2.85048
0	2.84431
0	2.83814
0	2.83197
0	2.82579
0	2.81961
0	2.81342
0	2.80723
0	2.80103
0	2.79483
0	2.78863
0	2.78242
0	2.77621
0	2.77
0	2.76379
0	2.75757
0	2.75134
0	2.74512
0	2.73889
0	2.73266
0	2.72642
0	2.72019
0	2.71395
0	2.7077
0	2.70145
0	2.6952
0	2.68895
0	2.68269
0	2.67643
0	2.67017
0	2.6639
0	2.65763
0	2.65135
0	2.64507
0	2.63879
0	2.6325
0	2.62621
0	2.61991
0	2.61361
0	2.60731
0	2.60101
0	2.5947
0	2.58839
0	2.58208
0	2.57576
0	2.56944
0	2.56311
0	2.55678
0	2.55045
0	2.54412
0	2.53778
0	2.53144
0	2.52509
0	2.51874
0	2.51239
0	2.50604
0	2.49969
0	2.49333
0	2.48697
0	2.4806
0	2.47423
0	2.46786
0	2.46149
0	2.45511
0	2.44873
0	2.44234
0	2.43596
0	2.42957
0	2.42317
0	2.41678
0	2.41038
0	2.40398
0	2.39757
0	2.39117
0	2.38475
0	2.37834
0	2.37192
0	2.3655
0	2.35908
0	2.35265
0	2.34622
0	2.33978
0	2.33335
0	2.32691
0	2.32047
0	2.31402
0	2.30757
0	2.30112
0	2.29467
0	2.28821
0	2.28175
0	2.27528
0	2.26882
0	2.26235
0	2.25587
0	2.2494
0	2.24292
0	2.23644
0	2.22995
0	2.22347
0	2.21698
0	2.21049
0	2.20399
0	2.1975
0	2.191
0	2.1845
0	2.17799
0	2.17149
0	2.16498
0	2.15846
0	2.15195
0	2.14543
0	2.13891
0	2.13238
0	2.12586
0	2.11933
0	2.1128
0	2.10627
0	2.09973
0	2.0932
0	2.08666
0	2.08011
0	2.07357
0	2.06702
0	2.06047
0	2.05391
0	2.04736
0	2.0408
0	2.03423
0	2.02767
0	2.0211
0	2.01453
0	2.00795
0	2.00138
